,ID,Grants,Loans,Federal,Institutional,Net_Total,YearBegin
208,2017000052,"6,000.00","12,500.00","12,500.00","6,000.00","18,368.00",2017
209,HE8942512,"7,500.00","7,500.00","7,500.00","7,500.00","14,922.00",2017
210,2016000011,"13,414.00","12,500.00","19,039.00","6,875.00","25,782.00",2017
211,2016000018,"16,795.00","25,163.00","31,083.00","10,875.00","41,128.00",2017
212,2016000004,"12,870.00","12,500.00","18,370.00","7,000.00","25,238.00",2017
213,HO1378856,"8,445.00","10,500.00","14,070.00","4,875.00","18,837.00",2017
214,2016000023,"10,470.00","6,500.00","8,970.00","8,000.00","16,904.00",2017
215,2017000042,"7,770.00","33,906.00","34,976.00","6,700.00","40,474.00",2017
216,2017000091,"12,300.00","7,500.00","7,500.00","12,300.00","19,722.00",2017
217,2017000073,"6,385.00","3,750.00","6,035.00","4,100.00","10,096.00",2017
218,2017000104,"10,000.00","12,800.00","12,800.00","10,000.00","22,494.00",2017
220,2017000094,"5,798.54","20,789.00","20,789.00","5,798.54","20,717.54",2017
221,2016000022,"15,732.18","9,000.00","13,370.00","9,862.18","24,654.18",2017
222,2016000020,"14,559.50","6,500.00","12,926.00","8,133.50","20,993.50",2017
226,2017000061,"8,000.00","31,578.00","31,578.00","8,000.00","38,406.00",2017
227,JO9257474,"13,000.00","22,500.00","7,500.00","13,000.00","35,422.00",2017
228,JU7739505,"18,920.00","12,500.00","18,420.00","13,000.00","31,288.00",2017
229,KA1668942,"18,118.00","10,025.00","12,995.00","15,148.00","28,040.00",2017
230,KE3577486,"16,870.00",0.00,"1,870.00","15,000.00","16,870.00",2017
231,2016000080,"14,499.00","24,100.00","31,599.00","7,000.00","37,813.00",2017
232,2017000108,"9,124.00","5,500.00","9,249.00","5,375.00","14,568.00",2017
233,2016000079,"15,699.00","23,795.00","31,294.00","8,200.00","38,388.00",2017
234,2017000080,"7,174.00","15,500.00","15,500.00","7,174.00","22,224.00",2017
236,2016000012,"8,000.00","14,368.00","6,500.00","8,000.00","22,300.00",2017
237,2017000025,"15,199.00","12,500.00","19,999.00","7,700.00","27,567.00",2017
238,2017000089,"8,570.00","31,008.00","34,578.00","5,000.00","38,410.00",2017
239,2017000084,"10,000.00","29,578.00","29,578.00","10,000.00","38,558.00",2017
240,2016000017,"5,850.00","32,500.00","7,500.00","5,850.00","38,272.00",2017
241,2016000070,"6,500.00","5,500.00","5,500.00","6,500.00","11,942.00",2017
242,2016000062,"7,000.00","7,500.00","7,500.00","7,000.00","14,422.00",2017
243,2017000050,"10,820.00","9,500.00","14,170.00","6,150.00","20,220.00",2017
244,2016000073,"2,000.00","9,500.00","9,500.00","2,000.00","11,400.00",2017
245,2016000010,"8,500.00","7,500.00","7,500.00","8,500.00","15,922.00",2017
246,2016000036,"21,149.00","10,500.00","17,999.00","13,650.00","31,537.00",2017
247,2017000075,"7,500.00","32,158.00","32,158.00","7,500.00","38,464.00",2017
248,2017000097,"12,620.00","5,500.00","11,420.00","6,700.00","18,064.00",2017
249,ME6551934,"10,366.67",0.00,"3,700.00","6,666.67","10,366.67",2017
250,2016000005,"13,120.00","12,500.00","15,370.00","10,250.00","25,488.00",2017
251,2017000012,"10,073.03","5,500.00","5,500.00","10,073.03","15,515.03",2017
252,2016000071,"12,159.00","10,888.00","9,659.00","8,000.00","22,989.00",2017
253,2017000077,"13,095.00","12,500.00","18,420.00","7,175.00","25,463.00",2017
254,018000007,"3,500.00","7,500.00","7,500.00","3,500.00","10,922.00",2017
