ID,Grants,Loans,Federal,Institutional,Net_Total,YearBegin,YearCat
2016000020,14559.5,6500.0,12926.0,8133.5,20993.5,2017,1
2017000061,8000.0,31578.0,31578.0,8000.0,38406.0,2017,1
JO9257474,13000.0,22500.0,7500.0,13000.0,35422.0,2017,1
JU7739505,18920.0,12500.0,18420.0,13000.0,31288.0,2017,1
KA1668942,18118.0,10025.0,12995.0,15148.0,28040.0,2017,1
KE3577486,16870.0,0.0,1870.0,15000.0,16870.0,2017,1
2016000080,14499.0,24100.0,31599.0,7000.0,37813.0,2017,1
2017000108,9124.0,5500.0,9249.0,5375.0,14568.0,2017,1
2016000079,15699.0,23795.0,31294.0,8200.0,38388.0,2017,1
2017000080,7174.0,15500.0,15500.0,7174.0,22224.0,2017,1
2016000012,8000.0,14368.0,6500.0,8000.0,22300.0,2017,1
2017000025,15199.0,12500.0,19999.0,7700.0,27567.0,2017,1
2017000089,8570.0,31008.0,34578.0,5000.0,38410.0,2017,1
2017000084,10000.0,29578.0,29578.0,10000.0,38558.0,2017,1
2016000017,5850.0,32500.0,7500.0,5850.0,38272.0,2017,1
2016000070,6500.0,5500.0,5500.0,6500.0,11942.0,2017,1
2016000062,7000.0,7500.0,7500.0,7000.0,14422.0,2017,1
2017000050,10820.0,9500.0,14170.0,6150.0,20220.0,2017,1
2016000073,2000.0,9500.0,9500.0,2000.0,11400.0,2017,1
2016000010,8500.0,7500.0,7500.0,8500.0,15922.0,2017,1
2016000036,21149.0,10500.0,17999.0,13650.0,31537.0,2017,1
2017000075,7500.0,32158.0,32158.0,7500.0,38464.0,2017,1
2017000097,12620.0,5500.0,11420.0,6700.0,18064.0,2017,1
ME6551934,10366.67,0.0,3700.0,6666.67,10366.67,2017,1
2016000005,13120.0,12500.0,15370.0,10250.0,25488.0,2017,1
2017000012,10073.03,5500.0,5500.0,10073.03,15515.03,2017,1
2016000071,12159.0,10888.0,9659.0,8000.0,22989.0,2017,1
2017000077,13095.0,12500.0,18420.0,7175.0,25463.0,2017,1
018000007,3500.0,7500.0,7500.0,3500.0,10922.0,2017,1
2017000068,9000.0,25404.0,25404.0,9000.0,33498.0,2017,1
NE6166014,5636.85,368.0,3328.0,2676.85,6004.85,2017,1
2017000098,12595.0,9500.0,11870.0,10225.0,21997.0,2017,1
2017000083,8520.0,12500.0,14870.0,6150.0,20890.0,2017,1
2016000061,12931.5,7500.0,13420.0,7011.5,20353.5,2017,1
2017000029,9000.0,21500.0,21500.0,9000.0,29792.0,2017,1
2017000038,6127.67,3750.0,6710.0,3167.67,7110.23,2017,1
2017000047,7175.0,7500.0,7500.0,7175.0,14597.0,2017,1
2017000105,17364.0,5500.0,5500.0,17364.0,22808.0,2017,1
2016000013,15270.0,16500.0,22270.0,9500.0,31310.0,2017,1
2016000043,17510.0,6500.0,12035.0,11975.0,23942.0,2017,1
2017000109,2687.5,5500.0,5500.0,2687.5,8129.5,2017,1
2016000007,19171.0,27500.0,18420.0,13251.0,46539.0,2017,1
2017000081,13094.0,10500.0,16420.0,7174.0,23486.0,2017,1
2017000087,5000.0,26555.0,26555.0,5000.0,30631.0,2017,1
2017000082,10920.0,29658.0,35578.0,5000.0,39524.0,2017,1
RU1751715,22510.0,5500.0,11420.0,16590.0,26962.0,2017,1
2017000051,7150.0,5500.0,5500.0,7150.0,12592.0,2017,1
2016000034,9750.0,25815.0,6500.0,9750.0,35497.0,2017,1
2017000101,8500.0,15563.0,15563.0,8500.0,23579.0,2017,1
2017000060,3900.0,28954.0,28954.0,3900.0,19164.0,2017,1
2018000006,6150.0,17289.0,17289.0,6150.0,22947.0,2017,1
2017000093,5000.0,7500.0,7500.0,5000.0,12422.0,2017,1
2016000031,20399.0,7500.0,14999.0,12900.0,27821.0,2017,1
2017000096,6547.5,3750.0,6710.0,3587.5,10258.5,2017,1
2016000067,7500.0,24500.0,24500.0,7500.0,31196.0,2017,1
2016000060,12770.0,7500.0,11270.0,9000.0,20192.0,2017,1
2018000005,6150.0,3750.0,3750.0,6150.0,9862.0,2017,1
2016000029,12745.0,6500.0,12420.0,6825.0,19177.0,2017,1
2016000030,9920.0,6500.0,12420.0,4000.0,16352.0,2017,1
2016000051,13420.0,12500.0,18420.0,7500.0,25788.0,2017,1
2017000088,6700.0,26056.0,5500.0,6700.0,32700.0,2017,1
2017000054,4435.0,0.0,1935.0,2500.0,4435.0,2017,1
2017000059,8000.0,31158.0,31158.0,8000.0,38036.0,2017,1
2017000102,8500.0,19500.0,7500.0,8500.0,27922.0,2017,1
2017000099,12670.0,10500.0,15970.0,7200.0,23058.0,2017,1
2017000074,12870.0,7500.0,13370.0,7000.0,20292.0,2017,1
2017000027,8500.0,6500.0,6500.0,8500.0,14932.0,2017,1
2016000037,11700.0,7500.0,7500.0,11700.0,19122.0,2018,2
AJ5365039,13545.0,12500.0,18545.0,7500.0,22822.0,2018,2
2017000035,8000.0,22500.0,22500.0,7000.0,29756.0,2018,2
2016000055,6000.0,17900.0,17900.0,6000.0,23382.0,2018,2
AR7969044,15045.0,7500.0,13545.0,9000.0,22467.0,2018,2
2018000071,18095.0,7500.0,13595.0,12000.0,25517.0,2018,2
2017000090,12095.0,12500.0,18595.0,6000.0,24465.0,2018,2
2018000105,20454.0,5500.0,8745.0,8125.0,25898.0,2018,2
018000048,13045.0,20500.0,15545.0,7000.0,33447.0,2018,2
2018000061,7050.0,10502.0,10502.0,7050.0,17442.0,2018,2
2016000069,8000.0,6500.0,6500.0,8000.0,14434.0,2018,2
2018000088,7050.0,9500.0,9500.0,7050.0,16450.0,2018,2
2018000045,26076.0,3000.0,9095.0,10897.0,29046.0,2018,2
2018000101,27851.0,12500.0,12595.0,11000.0,40285.0,2018,2
2018000072,12150.0,6500.0,6500.0,12150.0,18582.0,2018,2
2017000064,7000.0,27500.0,7500.0,7000.0,34422.0,2018,2
2017000067,13145.0,12500.0,18595.0,7050.0,25515.0,2018,2
